CutTableBySelection,Measure Names,Measure Values
CAS 2018-C06 G2,Investor (%),0
CAS 2018-C06 G1,Investor (%),0
CAS 2018-C05 G1,Investor (%),0
CAS 2018-C04 G2,Investor (%),0
CAS 2018-C03 G1,Investor (%),0
CAS 2018-C02 G2,Investor (%),0
CAS 2018-C01 G1,Investor (%),0
CAS 2017-C07 G2,Investor (%),0
CAS 2017-C07 G1,Investor (%),0
CAS 2017-C06 G2,Investor (%),0
CAS 2017-C06 G1,Investor (%),0
CAS 2017-C05 G1,Investor (%),0
CAS 2017-C04 G2,Investor (%),0
CAS 2017-C03 G1,Investor (%),0
CAS 2017-C02 G2,Investor (%),0
CAS 2017-C01 G1,Investor (%),0
CAS 2016-C07 G2,Investor (%),0
CAS 2016-C06 G1,Investor (%),0
CAS 2016-C05 G2,Investor (%),0
CAS 2016-C04 G1,Investor (%),0
CAS 2016-C03 G2,Investor (%),0
CAS 2016-C03 G1,Investor (%),0
CAS 2016-C02 G1,Investor (%),0
CAS 2016-C01 G2,Investor (%),0
CAS 2016-C01 G1,Investor (%),0
CAS 2015-C04 G2,Investor (%),0
CAS 2015-C04 G1,Investor (%),0
CAS 2015-C03 G2,Investor (%),0
CAS 2015-C03 G1,Investor (%),0
CAS 2015-C02 G2,Investor (%),0
CAS 2015-C02 G1,Investor (%),0
CAS 2015-C01 G2,Investor (%),0
CAS 2015-C01 G1,Investor (%),0
CAS 2014-C04 G2,Investor (%),0
CAS 2014-C04 G1,Investor (%),0
CAS 2014-C03 G2,Investor (%),0
CAS 2014-C03 G1,Investor (%),0
CAS 2014-C02 G2,Investor (%),0
CAS 2014-C02 G1,Investor (%),0
CAS 2014-C01,Investor (%),0
CAS 2013-C01,Investor (%),0
CAS 2020-R02 G2,Orig Rate,4.165525868
CAS 2020-R01 G1,Orig Rate,4.301365394
CAS 2019-R07 G1,Orig Rate,4.674101165
CAS 2019-R06 G2,Orig Rate,4.667060912
CAS 2019-R05 G1,Orig Rate,5.142239171
CAS 2019-R04 G2,Orig Rate,4.911398722
CAS 2019-R03 G1,Orig Rate,5.012904486
CAS 2019-R02 G1,Orig Rate,4.950424499
CAS 2019-R01 G2,Orig Rate,4.800305093
CAS 2019-HRP1,Orig Rate,4.427404833
CAS 2018-R07 G1,Orig Rate,4.838617080
CAS 2018-C06 G2,Orig Rate,4.313095645
CAS 2018-C06 G1,Orig Rate,4.606451966
CAS 2018-C05 G1,Orig Rate,4.279904489
CAS 2018-C04 G2,Orig Rate,4.196357601
CAS 2018-C03 G1,Orig Rate,4.255648552
CAS 2018-C02 G2,Orig Rate,4.242001794
